XFOIL & experimental polar
Polar key
Airfoil,DU35_A17
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-60,-0.72,1.066,0,0.2884,0,0
-55,-0.788,0.9728,0,0.2703,0,0
-50,-0.84,0.8705,0,0.2512,0,0
-45,-0.875,0.7611,0,0.2311,0,0
-40,-0.889,0.6466,0,0.2099,0,0
-35,-0.88,0.5299,0,0.1876,0,0
-30,-0.846,0.4141,0,0.1641,0,0
-25,-0.784,0.303,0,0.1396,0,0
-24,-0.768,0.2817,0,0.1345,0,0
-23,-0.751,0.2608,0,0.1294,0,0
-22,-0.733,0.2404,0,0.1243,0,0
-21,-0.714,0.2205,0,0.1191,0,0
-20,-0.693,0.2011,0,0.1139,0,0
-19,-0.671,0.1822,0,0.1086,0,0
-18,-0.648,0.164,0,0.1032,0,0
-17,-0.624,0.1465,0,0.0975,0,0
-16,-0.601,0.13,0,0.0898,0,0
-15,-0.579,0.1145,0,0.0799,0,0
-14,-0.559,0.1,0,0.0682,0,0
-13,-0.539,0.0867,0,0.0547,0,0
-12,-0.519,0.0744,0,0.0397,0,0
-11,-0.499,0.0633,0,0.0234,0,0
-10,-0.48,0.0534,0,0.006,0,0
-5.54,-0.385,0.0245,0,-0.08,0,0
-5.04,-0.359,0.0225,0,-0.08,0,0
-4.54,-0.36,0.0196,0,-0.08,0,0
-4.04,-0.355,0.0174,0,-0.08,0,0
-3.54,-0.307,0.0162,0,-0.08,0,0
-3.04,-0.246,0.0144,0,-0.08,0,0
-3,-0.24,0.024,0,-0.0623,0,0
-2.5,-0.163,0.0188,0,-0.0674,0,0
-2,-0.091,0.016,0,-0.0712,0,0
-1.5,-0.019,0.0137,0,-0.0746,0,0
-1,0.052,0.0118,0,-0.0778,0,0
-0.5,0.121,0.0104,0,-0.0806,0,0
0,0.196,0.0094,0,-0.0831,0,0
0.5,0.265,0.0096,0,-0.0863,0,0
1,0.335,0.0098,0,-0.0895,0,0
1.5,0.404,0.0099,0,-0.0924,0,0
2,0.472,0.01,0,-0.0949,0,0
2.5,0.54,0.0102,0,-0.0973,0,0
3,0.608,0.0103,0,-0.0996,0,0
3.5,0.674,0.0104,0,-0.1016,0,0
4,0.742,0.0105,0,-0.1037,0,0
4.5,0.809,0.0107,0,-0.1057,0,0
5,0.875,0.0108,0,-0.1076,0,0
5.5,0.941,0.0109,0,-0.1094,0,0
6,1.007,0.011,0,-0.1109,0,0
6.5,1.071,0.0113,0,-0.1118,0,0
7,1.134,0.0115,0,-0.1127,0,0
7.5,1.198,0.0117,0,-0.1138,0,0
8,1.26,0.012,0,-0.1144,0,0
8.5,1.318,0.0126,0,-0.1137,0,0
9,1.368,0.0133,0,-0.1112,0,0
9.5,1.422,0.0143,0,-0.11,0,0
10,1.475,0.0156,0,-0.1086,0,0
10.5,1.523,0.0174,0,-0.1064,0,0
11,1.57,0.0194,0,-0.1044,0,0
11.5,1.609,0.0227,0,-0.1013,0,0
12,1.642,0.0269,0,-0.098,0,0
12.5,1.675,0.0319,0,-0.0953,0,0
13,1.7,0.0398,0,-0.0925,0,0
13.5,1.717,0.0488,0,-0.0896,0,0
14,1.712,0.0614,0,-0.0864,0,0
14.5,1.703,0.0786,0,-0.084,0,0
15.5,1.671,0.1173,0,-0.083,0,0
16,1.649,0.1377,0,-0.0848,0,0
16.5,1.621,0.16,0,-0.088,0,0
17,1.598,0.1814,0,-0.0926,0,0
17.5,1.571,0.2042,0,-0.0984,0,0
18,1.549,0.2316,0,-0.1052,0,0
19,1.544,0.2719,0,-0.1158,0,0
19.5,1.549,0.2906,0,-0.1213,0,0
20,1.565,0.3085,0,-0.1248,0,0
21,1.565,0.3447,0,-0.1317,0,0
22,1.563,0.382,0,-0.1385,0,0
23,1.558,0.4203,0,-0.1452,0,0
24,1.552,0.4593,0,-0.1518,0,0
25,1.546,0.4988,0,-0.1583,0,0
26,1.539,0.5387,0,-0.1647,0,0
28,1.527,0.6187,0,-0.177,0,0
30,1.522,0.6978,0,-0.1886,0,0
32,1.529,0.7747,0,-0.1994,0,0
35,1.544,0.8869,0,-0.2148,0,0
40,1.529,1.0671,0,-0.2392,0,0
45,1.471,1.2319,0,-0.2622,0,0
50,1.376,1.3747,0,-0.2839,0,0
55,1.249,1.4899,0,-0.3043,0,0
60,1.097,1.5728,0,-0.3236,0,0
