XFOIL & experimental polar
Polar key
Airfoil,DU25_A17
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-90,-0.05,1.4201,0,0.3416,0,0
-85,-0.173,1.4081,0,0.3292,0,0
-80,-0.294,1.3811,0,0.3159,0,0
-75,-0.409,1.3394,0,0.3017,0,0
-70,-0.518,1.2833,0,0.2866,0,0
-65,-0.617,1.2138,0,0.2707,0,0
-60,-0.706,1.1315,0,0.2539,0,0
-55,-0.78,1.0378,0,0.2364,0,0
-50,-0.839,0.9341,0,0.2181,0,0
-45,-0.879,0.8221,0,0.1991,0,0
-40,-0.898,0.7042,0,0.1792,0,0
-35,-0.893,0.5829,0,0.1587,0,0
-30,-0.862,0.4616,0,0.1374,0,0
-25,-0.803,0.3441,0,0.1154,0,0
-24,-0.792,0.3209,0,0.1101,0,0
-23,-0.789,0.2972,0,0.1031,0,0
-22,-0.792,0.273,0,0.0947,0,0
-21,-0.801,0.2485,0,0.0849,0,0
-20,-0.815,0.2237,0,0.0739,0,0
-19,-0.833,0.199,0,0.0618,0,0
-18,-0.854,0.1743,0,0.0488,0,0
-17,-0.879,0.1498,0,0.0351,0,0
-16,-0.905,0.1256,0,0.0208,0,0
-15,-0.932,0.102,0,0.006,0,0
-14,-0.959,0.0789,0,-0.0091,0,0
-13,-0.985,0.0567,0,-0.0243,0,0
-12.01,-0.953,0.0271,0,-0.0349,0,0
-11,-0.9,0.0303,0,-0.0361,0,0
-9.98,-0.827,0.0287,0,-0.0464,0,0
-8.98,-0.753,0.0271,0,-0.0534,0,0
-8.47,-0.691,0.0264,0,-0.065,0,0
-7.45,-0.555,0.0114,0,-0.0782,0,0
-6.42,-0.413,0.0094,0,-0.0904,0,0
-5.4,-0.271,0.0086,0,-0.1006,0,0
-5,-0.22,0.0073,0,-0.1107,0,0
-4.5,-0.152,0.0071,0,-0.1135,0,0
-4,-0.084,0.007,0,-0.1162,0,0
-3.5,-0.018,0.0069,0,-0.1186,0,0
-3,0.049,0.0068,0,-0.1209,0,0
-2.5,0.115,0.0068,0,-0.1231,0,0
-2,0.181,0.0068,0,-0.1252,0,0
-1.5,0.247,0.0067,0,-0.1272,0,0
-1,0.312,0.0067,0,-0.1293,0,0
-0.5,0.377,0.0067,0,-0.1311,0,0
0,0.444,0.0065,0,-0.133,0,0
0.5,0.508,0.0065,0,-0.1347,0,0
1,0.573,0.0066,0,-0.1364,0,0
1.5,0.636,0.0067,0,-0.138,0,0
2,0.701,0.0068,0,-0.1396,0,0
2.5,0.765,0.0069,0,-0.1411,0,0
3,0.827,0.007,0,-0.1424,0,0
3.5,0.89,0.0071,0,-0.1437,0,0
4,0.952,0.0073,0,-0.1448,0,0
4.5,1.013,0.0076,0,-0.1456,0,0
5,1.062,0.0079,0,-0.1445,0,0
6,1.161,0.0099,0,-0.1419,0,0
6.5,1.208,0.0117,0,-0.1403,0,0
7,1.254,0.0132,0,-0.1382,0,0
7.5,1.301,0.0143,0,-0.1362,0,0
8,1.336,0.0153,0,-0.132,0,0
8.5,1.369,0.0165,0,-0.1276,0,0
9,1.4,0.0181,0,-0.1234,0,0
9.5,1.428,0.0211,0,-0.1193,0,0
10,1.442,0.0262,0,-0.1152,0,0
10.5,1.427,0.0336,0,-0.1115,0,0
11,1.374,0.042,0,-0.1081,0,0
11.5,1.316,0.0515,0,-0.1052,0,0
12,1.277,0.0601,0,-0.1026,0,0
12.5,1.25,0.0693,0,-0.1,0,0
13,1.246,0.0785,0,-0.098,0,0
13.5,1.247,0.0888,0,-0.0969,0,0
14,1.256,0.1,0,-0.0968,0,0
14.5,1.26,0.1108,0,-0.0973,0,0
15,1.271,0.1219,0,-0.0981,0,0
15.5,1.281,0.1325,0,-0.0992,0,0
16,1.289,0.1433,0,-0.1006,0,0
16.5,1.294,0.1541,0,-0.1023,0,0
17,1.304,0.1649,0,-0.1042,0,0
17.5,1.309,0.1754,0,-0.1064,0,0
18,1.315,0.1845,0,-0.1082,0,0
18.5,1.32,0.1953,0,-0.111,0,0
19,1.33,0.2061,0,-0.1143,0,0
19.5,1.343,0.217,0,-0.1179,0,0
20,1.354,0.228,0,-0.1219,0,0
20.5,1.359,0.239,0,-0.1261,0,0
21,1.36,0.2536,0,-0.1303,0,0
22,1.325,0.2814,0,-0.1375,0,0
23,1.288,0.3098,0,-0.1446,0,0
24,1.251,0.3386,0,-0.1515,0,0
25,1.215,0.3678,0,-0.1584,0,0
26,1.181,0.3972,0,-0.1651,0,0
28,1.12,0.4563,0,-0.1781,0,0
30,1.076,0.5149,0,-0.1904,0,0
32,1.056,0.572,0,-0.2017,0,0
35,1.066,0.6548,0,-0.2173,0,0
40,1.064,0.7901,0,-0.2418,0,0
45,1.035,0.919,0,-0.265,0,0
50,0.98,1.0378,0,-0.2867,0,0
55,0.904,1.1434,0,-0.3072,0,0
60,0.81,1.2333,0,-0.3265,0,0
65,0.702,1.3055,0,-0.3446,0,0
70,0.582,1.3587,0,-0.3616,0,0
75,0.456,1.3922,0,-0.3775,0,0
80,0.326,1.4063,0,-0.3921,0,0
85,0.197,1.4042,0,-0.4057,0,0
90,0.072,1.3985,0,-0.418,0,0
