XFOIL & experimental polar
Polar key
Airfoil,DU40_A17
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-60,-0.727,1.0376,0,0.2914,0,0
-55,-0.792,0.9446,0,0.2733,0,0
-50,-0.842,0.8429,0,0.2543,0,0
-45,-0.874,0.7345,0,0.2342,0,0
-40,-0.886,0.6215,0,0.2129,0,0
-35,-0.875,0.5067,0,0.1906,0,0
-30,-0.839,0.3932,0,0.167,0,0
-25,-0.777,0.2849,0,0.1422,0,0
-24,-0.761,0.2642,0,0.1371,0,0
-23,-0.744,0.244,0,0.132,0,0
-22,-0.725,0.2242,0,0.1268,0,0
-21,-0.706,0.2049,0,0.1215,0,0
-20,-0.685,0.1861,0,0.1162,0,0
-19,-0.662,0.1687,0,0.1097,0,0
-18,-0.635,0.1533,0,0.1012,0,0
-17,-0.605,0.1398,0,0.0907,0,0
-16,-0.571,0.1281,0,0.0784,0,0
-15,-0.534,0.1183,0,0.0646,0,0
-14,-0.494,0.1101,0,0.0494,0,0
-13,-0.452,0.1036,0,0.033,0,0
-12,-0.407,0.0986,0,0.0156,0,0
-11,-0.36,0.0951,0,-0.0026,0,0
-10,-0.311,0.0931,0,-0.0213,0,0
-8,-0.208,0.093,0,-0.06,0,0
-6,-0.111,0.0689,0,-0.05,0,0
-5.5,-0.09,0.0614,0,-0.0516,0,0
-5,-0.072,0.0547,0,-0.0532,0,0
-4.5,-0.065,0.048,0,-0.0538,0,0
-4,-0.054,0.0411,0,-0.0544,0,0
-3.5,-0.017,0.0349,0,-0.0554,0,0
-3,0.003,0.0299,0,-0.0558,0,0
-2.5,0.014,0.0255,0,-0.0555,0,0
-2,0.009,0.0198,0,-0.0534,0,0
-1.5,0.004,0.0164,0,-0.0442,0,0
-1,0.036,0.0147,0,-0.0469,0,0
-0.5,0.073,0.0137,0,-0.0522,0,0
0,0.137,0.0113,0,-0.0573,0,0
0.5,0.213,0.0114,0,-0.0644,0,0
1,0.292,0.0118,0,-0.0718,0,0
1.5,0.369,0.0122,0,-0.0783,0,0
2,0.444,0.0124,0,-0.0835,0,0
2.5,0.514,0.0124,0,-0.0866,0,0
3,0.58,0.0123,0,-0.0887,0,0
3.5,0.645,0.012,0,-0.09,0,0
4,0.71,0.0119,0,-0.0914,0,0
4.5,0.776,0.0122,0,-0.0933,0,0
5,0.841,0.0125,0,-0.0947,0,0
5.5,0.904,0.0129,0,-0.0957,0,0
6,0.967,0.0135,0,-0.0967,0,0
6.5,1.027,0.0144,0,-0.0973,0,0
7,1.084,0.0158,0,-0.0972,0,0
7.5,1.14,0.0174,0,-0.0972,0,0
8,1.193,0.0198,0,-0.0968,0,0
8.5,1.242,0.0231,0,-0.0958,0,0
9,1.287,0.0275,0,-0.0948,0,0
9.5,1.333,0.0323,0,-0.0942,0,0
10,1.368,0.0393,0,-0.0926,0,0
10.5,1.4,0.0475,0,-0.0908,0,0
11,1.425,0.058,0,-0.089,0,0
11.5,1.449,0.0691,0,-0.0877,0,0
12,1.473,0.0816,0,-0.087,0,0
12.5,1.494,0.0973,0,-0.087,0,0
13,1.513,0.1129,0,-0.0876,0,0
13.5,1.538,0.1288,0,-0.0886,0,0
14.5,1.587,0.165,0,-0.0917,0,0
15,1.614,0.1845,0,-0.0939,0,0
15.5,1.631,0.2052,0,-0.0966,0,0
16,1.649,0.225,0,-0.0996,0,0
16.5,1.666,0.2467,0,-0.1031,0,0
17,1.681,0.2684,0,-0.1069,0,0
17.5,1.699,0.29,0,-0.111,0,0
18,1.719,0.3121,0,-0.1157,0,0
19,1.751,0.3554,0,-0.1242,0,0
19.5,1.767,0.3783,0,-0.1291,0,0
20.5,1.798,0.4212,0,-0.1384,0,0
21,1.81,0.4415,0,-0.1416,0,0
22,1.83,0.483,0,-0.1479,0,0
23,1.847,0.5257,0,-0.1542,0,0
24,1.861,0.5694,0,-0.1603,0,0
25,1.872,0.6141,0,-0.1664,0,0
26,1.881,0.6593,0,-0.1724,0,0
28,1.894,0.7513,0,-0.1841,0,0
30,1.904,0.8441,0,-0.1954,0,0
32,1.915,0.9364,0,-0.2063,0,0
35,1.929,1.0722,0,-0.222,0,0
40,1.903,1.2873,0,-0.2468,0,0
45,1.82,1.4796,0,-0.2701,0,0
50,1.69,1.6401,0,-0.2921,0,0
55,1.522,1.7609,0,-0.3127,0,0
60,1.323,1.836,0,-0.3321,0,0
