XFOIL & experimental polar
Polar key
Airfoil,DU30_A17
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd
Max Cl/Cd alpha


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-60,-0.708,1.1156,0,0.2672,0,0
-55,-0.781,1.022,0,0.2494,0,0
-50,-0.838,0.9187,0,0.2308,0,0
-45,-0.877,0.8074,0,0.2113,0,0
-40,-0.895,0.6904,0,0.1909,0,0
-35,-0.889,0.5703,0,0.1696,0,0
-30,-0.858,0.4503,0,0.1475,0,0
-25,-0.832,0.3357,0,0.1224,0,0
-24,-0.852,0.3147,0,0.1156,0,0
-23,-0.882,0.2946,0,0.1081,0,0
-22,-0.919,0.2752,0,0.1,0,0
-21,-0.963,0.2566,0,0.0914,0,0
-20,-1.013,0.2388,0,0.0823,0,0
-19,-1.067,0.2218,0,0.0728,0,0
-18,-1.125,0.2056,0,0.0631,0,0
-17,-1.185,0.1901,0,0.0531,0,0
-16,-1.245,0.1754,0,0.043,0,0
-15.25,-1.29,0.1649,0,0.0353,0,0
-14.24,-1.229,0.1461,0,0.024,0,0
-13.24,-1.148,0.1263,0,0.01,0,0
-12.22,-1.052,0.1051,0,-0.009,0,0
-11.22,-0.965,0.0886,0,-0.023,0,0
-10.19,-0.867,0.074,0,-0.0336,0,0
-9.7,-0.822,0.0684,0,-0.0375,0,0
-9.18,-0.769,0.0605,0,-0.044,0,0
-8.18,-0.756,0.027,0,-0.0578,0,0
-7.19,-0.69,0.018,0,-0.059,0,0
-6.65,-0.616,0.0166,0,-0.0633,0,0
-6.13,-0.542,0.0152,0,-0.0674,0,0
-6,-0.525,0.0117,0,-0.0732,0,0
-5.5,-0.451,0.0105,0,-0.0766,0,0
-5,-0.382,0.0097,0,-0.0797,0,0
-4.5,-0.314,0.0092,0,-0.0825,0,0
-4,-0.251,0.0091,0,-0.0853,0,0
-3.5,-0.189,0.0089,0,-0.0884,0,0
-3,-0.12,0.0089,0,-0.0914,0,0
-2.5,-0.051,0.0088,0,-0.0942,0,0
-2,0.017,0.0088,0,-0.0969,0,0
-1.5,0.085,0.0088,0,-0.0994,0,0
-1,0.152,0.0088,0,-0.1018,0,0
-0.5,0.219,0.0088,0,-0.1041,0,0
0,0.288,0.0087,0,-0.1062,0,0
0.5,0.354,0.0087,0,-0.1086,0,0
1,0.421,0.0088,0,-0.1107,0,0
1.5,0.487,0.0089,0,-0.1129,0,0
2,0.554,0.009,0,-0.1149,0,0
2.5,0.619,0.0091,0,-0.1168,0,0
3,0.685,0.0092,0,-0.1185,0,0
3.5,0.749,0.0093,0,-0.1201,0,0
4,0.815,0.0095,0,-0.1218,0,0
4.5,0.879,0.0096,0,-0.1233,0,0
5,0.944,0.0097,0,-0.1248,0,0
5.5,1.008,0.0099,0,-0.126,0,0
6,1.072,0.0101,0,-0.127,0,0
6.5,1.135,0.0103,0,-0.128,0,0
7,1.197,0.0107,0,-0.1287,0,0
7.5,1.256,0.0112,0,-0.1289,0,0
8,1.305,0.0125,0,-0.127,0,0
9,1.39,0.0155,0,-0.1207,0,0
9.5,1.424,0.0171,0,-0.1158,0,0
10,1.458,0.0192,0,-0.1116,0,0
10.5,1.488,0.0219,0,-0.1073,0,0
11,1.512,0.0255,0,-0.1029,0,0
11.5,1.533,0.0307,0,-0.0983,0,0
12,1.549,0.037,0,-0.0949,0,0
12.5,1.558,0.0452,0,-0.0921,0,0
13,1.47,0.063,0,-0.0899,0,0
13.5,1.398,0.0784,0,-0.0885,0,0
14,1.354,0.0931,0,-0.0885,0,0
14.5,1.336,0.1081,0,-0.0902,0,0
15,1.333,0.1239,0,-0.0928,0,0
15.5,1.326,0.1415,0,-0.0963,0,0
16,1.329,0.1592,0,-0.1006,0,0
16.5,1.326,0.1743,0,-0.1042,0,0
17,1.321,0.1903,0,-0.1084,0,0
17.5,1.331,0.2044,0,-0.1125,0,0
18,1.333,0.2186,0,-0.1169,0,0
18.5,1.34,0.2324,0,-0.1215,0,0
19,1.362,0.2455,0,-0.1263,0,0
19.5,1.382,0.2584,0,-0.1313,0,0
20,1.398,0.2689,0,-0.1352,0,0
20.5,1.426,0.2814,0,-0.1406,0,0
21,1.437,0.2943,0,-0.1462,0,0
22,1.418,0.3246,0,-0.1516,0,0
23,1.397,0.3557,0,-0.157,0,0
24,1.376,0.3875,0,-0.1623,0,0
25,1.354,0.4198,0,-0.1676,0,0
26,1.332,0.4524,0,-0.1728,0,0
28,1.293,0.5183,0,-0.1832,0,0
30,1.265,0.5843,0,-0.1935,0,0
32,1.253,0.6492,0,-0.2039,0,0
35,1.264,0.7438,0,-0.2193,0,0
40,1.258,0.897,0,-0.244,0,0
45,1.217,1.0402,0,-0.2672,0,0
50,1.146,1.1686,0,-0.2891,0,0
55,1.049,1.2779,0,-0.3097,0,0
60,0.932,1.3647,0,-0.329,0,0
